"Schub_x","Schub_y"
11.951,2279.0623,
11.9626,2372.547,
11.9742,2219.258,
11.9858,2413.7839,
11.9975,2149.7382,
12.0091,2328.7193,
12.0206,2317.4925,
12.0322,2205.2245,
12.0439,2401.9094,
12.0555,2198.7475,
12.0671,2428.681,
12.0787,2275.392,
12.0903,2321.8105,
12.1019,2394.137,
12.1136,2231.7802,
12.1252,2448.5438,
12.1368,2211.7015,
12.1484,2350.0934,
12.16,2315.1176,
12.1716,2237.1777,
12.1832,2401.0458,
12.1948,2189.6797,
12.2065,2395.2165,
12.2181,2269.3468,
12.2297,2332.6055,
12.2413,2392.8416,
12.2529,2198.7475,
12.2645,2437.317,
12.2761,2265.8924,
12.2878,2438.8283,
12.2994,2386.7964,
12.311,2265.8924,
12.3226,2480.7129,
12.3342,2256.6087,
12.3458,2448.3279,
12.3574,2339.5143,
12.369,2357.434,
12.3807,2434.2944,
12.3923,2250.5635,
12.4039,2479.2016,
12.4154,2294.3912,
12.4271,2405.7956,
12.4387,2378.8081,
12.4503,2239.1208,
12.4619,2422.204,
12.4735,2231.9961,
12.4852,2428.681,
12.4967,2298.2774,
12.5084,2321.5946,
12.52,2452.2141,
12.5316,2268.915,
12.5432,2482.2242,
12.5548,2211.2697,
12.5664,2359.593,
12.578,2344.0482,
12.5897,2255.961,
12.6013,2477.6903,
12.6129,2216.2354,
12.6245,2411.6249,
12.6361,2308.6406,
12.6477,2316.1971,
12.6593,2423.9312,
12.6709,2246.8932,
12.6827,2512.2343,
12.6942,2298.7092,
12.7058,2383.7738,
12.7174,2400.1822,
12.729,2265.6765,
12.7406,2443.1463,
12.7522,2227.2463,
12.7638,2447.8961,
12.7754,2309.936,
12.7871,2341.6733,
12.7987,2475.9631,
12.8103,2264.8129,
12.8219,2505.3255,
12.8335,2323.3218,
12.8451,2437.1011,
12.8567,2456.9639,
12.8683,2296.5502,
12.88,2461.066,
12.8915,2244.3024,
12.9032,2460.8501,
12.9148,2366.7177,
12.9263,2353.3319,
12.938,2448.3279,
12.9496,2254.2338,
12.9612,2501.8711,
12.9728,2301.0841,
12.9845,2407.091,
12.9961,2419.3973,
13.0076,2285.1075,
13.0193,2495.8259,
13.0309,2266.5401,
13.0425,2436.6693,
13.0541,2336.0599,
13.0657,2338.4348,
13.0773,2457.1798,
13.0889,2232.8597,
13.1006,2450.4869,
13.1122,2269.7786,
13.1238,2404.0684,
13.1354,2413.568,
13.147,2271.2899,
13.1587,2483.5196,
13.1702,2247.9727,
13.1818,2451.3505,
13.1935,2353.116,
13.2051,2334.7645,
13.2167,2450.0551,
13.2283,2234.5869,
13.2399,2467.3271,
13.2515,2287.0506,
13.2631,2342.5369,
13.2748,2367.3654,
13.2863,2249.484,
13.298,2442.0668,
13.3095,2220.7693,
13.3212,2418.3178,
13.3328,2301.9477,
13.3444,2254.0179,
13.356,2390.6826,
13.3677,2134.6252,
13.3793,2347.5026,
13.3908,2178.8847,
13.4025,2279.4941,
13.4141,2268.915,
13.4257,2109.5808,
13.4373,2343.6164,
13.4489,2119.2963,
13.4605,2307.3452,
13.4721,2228.3258,
13.4838,2199.3952,
13.4954,2297.4138,
13.507,2069.8552,
13.5186,2276.2556,
13.5302,2062.5146,
13.5418,2145.852,
13.5534,2193.35,
13.565,2078.7071,
13.5766,2292.664,
13.5882,2046.538,
13.5999,2218.1785,
13.6114,2132.6821,
13.6231,2045.8903,
13.6348,2149.3064,
13.6463,1933.8382,
13.6579,2152.1131,
13.6695,1969.4617,
13.6811,2016.7438,
13.6927,2032.0727,
13.7043,1886.772,
13.7159,2072.0142,
13.7275,1823.9451,
13.7391,2018.6869,
13.7508,1942.906,
13.7624,1873.1703,
13.774,2041.7882,
13.7856,1831.0698,
13.7972,2048.4811,
13.8088,1855.0347,
13.8204,1929.7361,
13.8321,1975.291,
13.8437,1781.4128,
13.8553,2026.8911,
13.8669,1782.2764,
13.8785,1930.5997,
13.8901,1831.5016,
13.9017,1803.6505,
13.9133,1953.701,
13.925,1715.5633,
13.9366,1968.5981,
13.9482,1780.5492,
13.9598,1826.1041,
13.9714,1862.3753,
13.983,1690.0871,
13.9946,1929.7361,
14.0062,1718.37,
