0,1,2,3,4
$RQOBS,000006.2075,39246,3178,*42
$RQOBS,000006.2191,39333,3081,*4D
$RQOBS,000006.2307,39277,2982,*4A
$RQOBS,000006.2423,39307,2876,*47
$RQOBS,000006.2539,39323,2968,*45
$RQOBS,000006.2655,39252,3243,*48
$RQOBS,000006.2771,39336,3276,*4A
$RQOBS,000006.2887,39439,3145,*47
$RQOBS,000006.3003,39204,3100,*4B
$RQOBS,000006.3119,39147,3063,*41
$RQOBS,000006.3235,39267,3221,*49
$RQOBS,000006.3351,39298,3112,*49
$RQOBS,000006.3467,39232,3004,*4D
$RQOBS,000006.3583,39265,3108,*49
$RQOBS,000006.3699,39417,3072,*4E
$RQOBS,000006.3815,39545,3013,*45
$RQOBS,000006.3931,39472,3123,*45
$RQOBS,000006.4047,39425,3045,*49
$RQOBS,000006.4163,39457,3077,*4A
$RQOBS,000006.4279,39338,3206,*48
$RQOBS,000006.4395,39352,3112,*41
$RQOBS,000006.4511,39352,3022,*49
$RQOBS,000006.4627,39328,3010,*43
$RQOBS,000006.4743,39328,2862,*4C
$RQOBS,000006.4859,39272,3015,*4F
$RQOBS,000006.4976,39278,3057,*4F
$RQOBS,000006.5091,39231,3034,*46
$RQOBS,000006.5206,39443,3197,*41
$RQOBS,000006.5323,39462,3112,*49
$RQOBS,000006.5438,39250,3020,*43
$RQOBS,000006.5554,39217,3012,*4A
$RQOBS,000006.5670,39380,2949,*46
$RQOBS,000006.5786,39278,2996,*4A
$RQOBS,000006.5902,39217,3116,*40
$RQOBS,000006.6018,39343,3075,*45
$RQOBS,000006.6134,39419,3029,*4B
$RQOBS,000006.6250,39315,2978,*4D
$RQOBS,000006.6366,39414,2870,*46
$RQOBS,000006.6482,39295,3113,*49
$RQOBS,000006.6598,39325,3179,*45
$RQOBS,000006.6714,39346,3115,*4C
$RQOBS,000006.6830,39264,3135,*46
$RQOBS,000006.6946,39258,2955,*46
$RQOBS,000006.7062,39245,3140,*49
$RQOBS,000006.7178,39172,3231,*41
$RQOBS,000006.7294,39190,3128,*47
$RQOBS,000006.7410,39277,3040,*48
$RQOBS,000006.7526,39471,2800,*41
$RQOBS,000006.7642,39414,2826,*47
$RQOBS,000006.7758,39376,2834,*4D
$RQOBS,000006.7874,39415,3122,*41
$RQOBS,000006.7990,39241,3151,*49
$RQOBS,000006.8106,39181,3101,*4B
$RQOBS,000006.8222,39288,3056,*47
$RQOBS,000006.8338,39473,2995,*48
$RQOBS,000006.8454,39361,3090,*4C
$RQOBS,000006.8570,39337,3437,*41
$RQOBS,000006.8686,39384,3223,*40
$RQOBS,000006.8802,39429,3085,*4C
$RQOBS,000006.8918,39270,3109,*49
$RQOBS,000006.9034,39345,3077,*40
$RQOBS,000006.9150,39348,2925,*41
$RQOBS,000006.9266,39211,2958,*40
$RQOBS,000006.9382,39125,3033,*4A
